0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
4460 -7,36279E-10 0,004092336 7,282051E-08

4480 -7,36279E-10 0,004092336 7,282051E-08

4500 -7,36279E-10 0,004092336 7,282051E-08

4520 -7,36279E-10 0,004092336 7,282051E-08

4540 -7,36279E-10 0,004092336 7,282051E-08

4560 -7,36279E-10 0,004092336 7,282051E-08

4580 -7,36279E-10 0,004092336 7,282051E-08

4600 -7,36279E-10 0,004092336 7,282051E-08

4620 -7,36279E-10 0,004092336 7,282051E-08

4640 -7,36279E-10 0,004092336 7,282051E-08

4660 -7,36279E-10 0,004092336 7,282051E-08

4680 -7,36279E-10 0,004092336 7,282051E-08

4700 -7,36279E-10 0,004092336 7,282051E-08

4720 -7,36279E-10 0,004092336 7,282051E-08

4740 -7,36279E-10 0,004092336 7,282051E-08

4760 -7,36279E-10 0,004092336 7,282051E-08

4780 -7,36279E-10 0,004092336 7,282051E-08

4800 -7,36279E-10 0,004092336 7,282051E-08

4820 -7,36279E-10 0,004092336 7,282051E-08

4840 -7,36279E-10 0,004092336 7,282051E-08

4860 -7,36279E-10 0,004092336 7,282051E-08

4880 -7,36279E-10 0,004092336 7,282051E-08

4900 -7,36279E-10 0,004092336 7,282051E-08

4920 -7,36279E-10 0,004092336 7,282051E-08

4940 -7,36279E-10 0,004092336 7,282051E-08

4960 -7,36279E-10 0,004092336 7,282051E-08

4980 -7,36279E-10 0,004092336 7,282051E-08

5000 -7,36279E-10 0,004092336 7,282051E-08

5020 -7,36279E-10 0,004092336 7,282051E-08

5040 -7,36279E-10 0,004092336 7,282051E-08

5060 -7,36279E-10 0,004092336 7,282051E-08

5080 -7,36279E-10 0,004092336 7,282051E-08

5100 -1,998232E-09 0,003731191 8,015013E-08

5120 -1,413223E-09 0,003451586 1,432545E-07

5140 -3,53591E-10 0,003244758 1,810786E-07

5160 -1,988738E-10 0,003101647 1,953631E-07

5180 -1,98889E-10 0,003013015 1,91556E-07

5200 -2,163075E-10 0,00297004 1,747903E-07

5220 -1,48763E-10 0,002964318 1,49008E-07

5240 -1,520288E-10 0,0029881 1,185126E-07

5260 -1,633412E-10 0,003034532 8,596544E-08

5280 -1,452033E-10 0,003097296 5,379115E-08

5300 -1,378361E-10 0,003171206 2,498246E-08

5320 -1,221703E-10 0,003251076 -2,212346E-09

5340 -1,049456E-09 0,003334105 -2,351157E-08

5360 -1,62808E-09 0,003416419 -4,092453E-08

5380 -2,185879E-09 0,003495932 -5,358766E-08

5400 -3,184788E-09 0,003570795 -6,168102E-08

5420 -3,966342E-09 0,003639698 -6,549999E-08

5440 -4,361358E-09 0,003701866 -6,567507E-08

5460 -5,054885E-09 0,003756821 -6,256982E-08

