0 1,924112E-06 1,298075E-09 -8,397331E-10 1
379 -3,781169E-07 1,298931E-09 -1,030123E-09 1

380 -3,799796E-07 1,298936E-09 -1,032416E-09 1

381 -3,818422E-07 1,29894E-09 -1,034726E-09 1

382 -3,837048E-07 1,298945E-09 -1,037054E-09 1

383 -3,855675E-07 1,298949E-09 -1,039401E-09 1

384 -3,874301E-07 1,298954E-09 -1,041766E-09 1

385 -3,892928E-07 1,298958E-09 -1,04415E-09 1

386 -3,911554E-07 1,298962E-09 -1,046552E-09 1

387 -3,930181E-07 1,298967E-09 -1,048973E-09 1

388 -3,948807E-07 1,298971E-09 -1,051413E-09 1

389 -3,967434E-07 1,298975E-09 -1,053871E-09 1

390 -3,98606E-07 1,298979E-09 -1,056348E-09 1

391 -4,004687E-07 1,298984E-09 -1,058844E-09 1

392 -4,023313E-07 1,298755E-09 -9,873996E-10 1

393 -4,041939E-07 1,298871E-09 -1,000502E-09 1

394 -4,060566E-07 1,298952E-09 -1,00654E-09 1

395 -4,079192E-07 1,298998E-09 -1,010109E-09 1

396 -4,097819E-07 1,299023E-09 -1,012823E-09 1

397 -4,116445E-07 1,298803E-09 -9,414132E-10 1

398 -4,135072E-07 1,298921E-09 -9,544158E-10 1

399 -4,153698E-07 1,299004E-09 -9,603104E-10 1

400 -4,172325E-07 1,299051E-09 -9,637218E-10 1

401 -4,190951E-07 1,299076E-09 -9,662736E-10 1

402 -4,209577E-07 1,299091E-09 -9,685356E-10 1

403 -4,228204E-07 1,2991E-09 -9,707078E-10 1

404 -4,24683E-07 1,299106E-09 -9,728607E-10 1

405 -4,265457E-07 1,299112E-09 -9,750187E-10 1

406 -4,284083E-07 1,299117E-09 -9,771909E-10 1

407 -4,30271E-07 1,299122E-09 -9,793799E-10 1

408 -4,321336E-07 1,299127E-09 -9,81587E-10 1

409 -4,339963E-07 1,299132E-09 -9,838126E-10 1

410 -4,358589E-07 1,299137E-09 -9,860568E-10 1

411 -4,377216E-07 1,299142E-09 -9,883195E-10 1

412 -4,395842E-07 1,299147E-09 -9,906009E-10 1

413 -4,414468E-07 1,299151E-09 -9,929011E-10 1

414 -4,433095E-07 1,299156E-09 -9,952198E-10 1

415 -4,451721E-07 1,298928E-09 -9,235989E-10 1

416 -4,470348E-07 1,299045E-09 -9,366388E-10 1

417 -4,488974E-07 1,299127E-09 -9,42596E-10 1

418 -4,507601E-07 1,299173E-09 -9,460794E-10 1

419 -4,526227E-07 1,299199E-09 -9,487062E-10 1

420 -4,544854E-07 1,299213E-09 -9,510444E-10 1

421 -4,56348E-07 1,299223E-09 -9,532931E-10 1

422 -4,582106E-07 1,29923E-09 -9,555227E-10 1

423 -4,600733E-07 1,299235E-09 -9,577574E-10 1

