0 1,060008E-05 1,151933E-08 2,176664E-10 1
7410 4,131813E-06 9,817725E-08 -4,469908E-11 1

7429 4,131114E-06 9,817683E-08 8,532264E-11 1

7448 4,132744E-06 9,817723E-08 2,405175E-10 1

7467 4,132045E-06 9,817681E-08 3,979163E-10 1

7486 4,133675E-06 9,81772E-08 5,712943E-10 1

7505 4,132977E-06 9,817678E-08 7,468571E-10 1

7524 4,134374E-06 9,817719E-08 8,830103E-10 1

7543 4,133442E-06 9,817676E-08 1,02159E-09 1

7562 4,134607E-06 9,817717E-08 1,12081E-09 1

7581 4,133675E-06 9,817676E-08 1,222483E-09 1

7600 4,133442E-06 9,817797E-08 -8,748404E-10 1

7619 4,132278E-06 9,817688E-08 -8,740786E-10 1

7638 4,13321E-06 9,817719E-08 -8,642912E-10 1

7657 4,131813E-06 9,817676E-08 -8,530955E-10 1

7676 4,132744E-06 9,817712E-08 -7,428514E-10 1

7695 4,131347E-06 9,817666E-08 -5,568794E-10 1

7714 4,132278E-06 9,817702E-08 -2,722105E-10 1

7733 4,130881E-06 9,817656E-08 8,804454E-11 1

7752 4,131813E-06 9,817696E-08 4,729924E-10 1

7771 4,130416E-06 9,817655E-08 8,691496E-10 1

7790 4,129019E-06 9,817656E-08 1,21776E-09 1

7809 4,127854E-06 9,81766E-08 1,492321E-09 1

7828 4,129019E-06 9,817706E-08 1,802589E-09 1

7847 4,128087E-06 9,817674E-08 1,995025E-09 1

7866 4,129717E-06 9,817721E-08 2,157743E-09 1

7885 4,13158E-06 9,817732E-08 2,256884E-09 1

7904 4,131114E-06 9,81769E-08 2,321037E-09 1

7923 4,13321E-06 9,817735E-08 2,364186E-09 1

7942 4,132744E-06 9,817691E-08 2,437725E-09 1

7961 4,134839E-06 9,817735E-08 2,490019E-09 1

7980 4,134374E-06 9,817693E-08 2,489607E-09 1

7999 4,136236E-06 9,817738E-08 2,468316E-09 1

8018 4,135771E-06 9,817699E-08 2,34825E-09 1

8037 4,137633E-06 9,817746E-08 2,142965E-09 1

8056 4,136935E-06 9,817703E-08 1,913175E-09 1

8075 4,138798E-06 9,817752E-08 1,542563E-09 1

8094 4,137866E-06 9,817707E-08 1,203147E-09 1

8113 -9,268988E-05 9,817185E-08 8,83199E-10 1

8132 -0,0002832785 9,816674E-08 6,821521E-10 1

8151 -0,0005410279 9,816169E-08 6,118365E-10 0,9999999

8170 -0,0008431408 9,81567E-08 6,018972E-10 0,9999998

8189 -0,00117047 9,815347E-08 6,72124E-10 0,9999995

8208 -0,001507317 9,814857E-08 8,04013E-10 0,999999

8227 -0,001841142 9,814373E-08 1,020156E-09 0,9999985

8246 -0,00208995 0,0005459911 0,0005308127 0,9999976

8265 -0,002314863 0,001376645 0,001077108 0,9999959

8284 -0,00252433 0,002386694 0,00158091 0,9999928

8303 -0,002718977 0,003530229 0,002025446 0,9999882

8322 -0,002897198 0,004787535 0,002408126 0,9999816

8341 -0,003057282 0,006149859 0,002731401 0,9999729

8360 -0,003198066 0,007613142 0,002999828 0,9999616

8379 -0,003319053 0,00917543 0,003218925 0,9999474

8398 -0,003420392 0,01083577 0,003394621 0,9999298

8417 -0,003502759 0,01259373 0,003532942 0,9999085

8436 -0,00356723 0,01444914 0,003639805 0,9998828

8455 -0,003615174 0,01640204 0,003720869 0,9998522

8474 -0,003648133 0,01845255 0,003781403 0,999816

8493 -0,003667714 0,02060086 0,00382617 0,9997739

8512 -0,003675655 0,02284723 0,003859696 0,9997249

8531 -0,003673535 0,0251919 0,00388573 0,9996684

8550 -0,003662898 0,02763517 0,003907638 0,9996039

8569 -0,00364517 0,03017728 0,003928284 0,9995303

8588 -0,003621641 0,03281852 0,003950069 0,9994472

8607 -0,003593465 0,03555911 0,00397497 0,9993534

8626 -0,003561623 0,03839928 0,004004576 0,9992483

8645 -0,003526958 0,04133922 0,00404011 0,999131

8664 -0,003490153 0,04437912 0,004082481 0,9990005

8683 -0,003451813 0,04751911 0,004132287 0,9988559

8702 -0,003412252 0,05075928 0,004190075 0,9986964

