0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1
4080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

5980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

6980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

