0 0 -4,172325E-07 0

20 3,946393E-09 -0,003362268 1,23473E-06
5740 3,883539E-08 -0,08887053 -2,55226E-07

5760 3,883539E-08 -0,08887053 -2,55226E-07

5780 3,883539E-08 -0,08887053 -2,55226E-07

5800 3,883539E-08 -0,08887053 -2,55226E-07

5820 3,883539E-08 -0,08887053 -2,55226E-07

5840 3,883539E-08 -0,08887053 -2,55226E-07

5860 3,883539E-08 -0,08887053 -2,55226E-07

5880 3,883539E-08 -0,08887053 -2,55226E-07

5900 3,883539E-08 -0,08887053 -2,55226E-07

5920 3,883539E-08 -0,08887053 -2,55226E-07

5940 3,883539E-08 -0,08887053 -2,55226E-07

5960 3,883539E-08 -0,08887053 -2,55226E-07

5980 3,883539E-08 -0,08887053 -2,55226E-07

6000 3,883539E-08 -0,08887053 -2,55226E-07

6020 3,883539E-08 -0,08887053 -2,55226E-07

6040 3,883539E-08 -0,08887053 -2,55226E-07

6060 3,883539E-08 -0,08887053 -2,55226E-07

6080 3,883539E-08 -0,08887053 -2,55226E-07

6100 3,883539E-08 -0,08887053 -2,55226E-07

6120 3,883539E-08 -0,08887053 -2,55226E-07

6140 3,883539E-08 -0,08887053 -2,55226E-07

6160 3,883539E-08 -0,08887053 -2,55226E-07

6180 3,883539E-08 -0,08887053 -2,55226E-07

6200 3,883539E-08 -0,08887053 -2,55226E-07

6220 3,883539E-08 -0,08887053 -2,55226E-07

6240 3,883539E-08 -0,08887053 -2,55226E-07

6260 3,883539E-08 -0,08887053 -2,55226E-07

6280 3,883539E-08 -0,08887053 -2,55226E-07

6300 3,883539E-08 -0,08887053 -2,55226E-07

6320 3,883539E-08 -0,08887053 -2,55226E-07

6340 3,883539E-08 -0,08887053 -2,55226E-07

6360 3,883539E-08 -0,08887053 -2,55226E-07

6380 3,883539E-08 -0,08887053 -2,55226E-07

6400 3,883539E-08 -0,08887053 -2,55226E-07

6420 3,883539E-08 -0,08887053 -2,55226E-07

6440 3,883539E-08 -0,08887053 -2,55226E-07

6460 3,883539E-08 -0,08887053 -2,55226E-07

6480 3,883539E-08 -0,08887053 -2,55226E-07

6500 3,883539E-08 -0,08887053 -2,55226E-07

6520 3,883539E-08 -0,08887053 -2,55226E-07

6540 3,883539E-08 -0,08887053 -2,55226E-07

6560 3,883539E-08 -0,08887053 -2,55226E-07

6580 3,883539E-08 -0,08887053 -2,55226E-07

6600 3,883539E-08 -0,08887053 -2,55226E-07

6620 3,883539E-08 -0,08887053 -2,55226E-07

6640 3,883539E-08 -0,08887053 -2,55226E-07

6660 3,883539E-08 -0,08887053 -2,55226E-07

6680 3,883539E-08 -0,08887053 -2,55226E-07

6700 3,883539E-08 -0,08887053 -2,55226E-07

6720 3,883539E-08 -0,08887053 -2,55226E-07

6740 3,883539E-08 -0,08887053 -2,55226E-07

6760 3,883539E-08 -0,08887053 -2,55226E-07

6780 3,883539E-08 -0,08887053 -2,55226E-07

6800 3,883539E-08 -0,08887053 -2,55226E-07

6820 3,883539E-08 -0,08887053 -2,55226E-07

6840 3,883539E-08 -0,08887053 -2,55226E-07

6860 3,883539E-08 -0,08887053 -2,55226E-07

6880 3,883539E-08 -0,08887053 -2,55226E-07

6900 3,883539E-08 -0,08887053 -2,55226E-07

6920 3,883539E-08 -0,08887053 -2,55226E-07

6940 3,883539E-08 -0,08887053 -2,55226E-07

6960 3,883539E-08 -0,08887053 -2,55226E-07

6980 3,883539E-08 -0,08887053 -2,55226E-07

7000 3,883539E-08 -0,08887053 -2,55226E-07

7020 3,883539E-08 -0,08887053 -2,55226E-07

7040 3,883539E-08 -0,08887053 -2,55226E-07

7060 3,883539E-08 -0,08887053 -2,55226E-07

7080 3,883539E-08 -0,08887053 -2,55226E-07

7100 3,883539E-08 -0,08887053 -2,55226E-07

7120 3,883539E-08 -0,08887053 -2,55226E-07

7140 3,883539E-08 -0,08887053 -2,55226E-07

7160 3,883539E-08 -0,08887053 -2,55226E-07

7180 3,883539E-08 -0,08887053 -2,55226E-07

7200 3,883539E-08 -0,08887053 -2,55226E-07

7220 3,883539E-08 -0,08887053 -2,55226E-07

7240 3,883539E-08 -0,08887053 -2,55226E-07

7260 3,883539E-08 -0,08887053 -2,55226E-07

7280 3,883539E-08 -0,08887053 -2,55226E-07

7300 3,883539E-08 -0,08887053 -2,55226E-07

7320 3,883539E-08 -0,08887053 -2,55226E-07

7340 3,883539E-08 -0,08887053 -2,55226E-07

7360 3,883539E-08 -0,08887053 -2,55226E-07

7380 3,883539E-08 -0,08887053 -2,55226E-07

7400 3,883539E-08 -0,08887053 -2,55226E-07

7420 3,883539E-08 -0,08887053 -2,55226E-07

7440 3,883539E-08 -0,08887053 -2,55226E-07

7460 3,883539E-08 -0,08887053 -2,55226E-07

7480 3,883539E-08 -0,08887053 -2,55226E-07

7500 3,883539E-08 -0,08887053 -2,55226E-07

7520 3,883539E-08 -0,08887053 -2,55226E-07

7540 3,883539E-08 -0,08887053 -2,55226E-07

7560 3,883539E-08 -0,08887053 -2,55226E-07

7580 3,883539E-08 -0,08887053 -2,55226E-07

7600 3,883539E-08 -0,08887053 -2,55226E-07

7620 3,883539E-08 -0,08887053 -2,55226E-07

7640 3,883539E-08 -0,08887053 -2,55226E-07

7660 3,883539E-08 -0,08887053 -2,55226E-07

7680 3,883539E-08 -0,08887053 -2,55226E-07

7700 3,883539E-08 -0,08887053 -2,55226E-07

7720 3,883539E-08 -0,08887053 -2,55226E-07

7740 3,883539E-08 -0,08887053 -2,55226E-07

7760 3,883539E-08 -0,08887053 -2,55226E-07

7780 3,883539E-08 -0,08887053 -2,55226E-07

7800 3,883539E-08 -0,08887053 -2,55226E-07

7820 3,883539E-08 -0,08887053 -2,55226E-07

7840 3,883539E-08 -0,08887053 -2,55226E-07

7860 3,883539E-08 -0,08887053 -2,55226E-07

7880 3,883539E-08 -0,08887053 -2,55226E-07

7900 3,883539E-08 -0,08887053 -2,55226E-07

7920 3,883539E-08 -0,08887053 -2,55226E-07

7940 3,883539E-08 -0,08887053 -2,55226E-07

7960 3,883539E-08 -0,08887053 -2,55226E-07

7980 3,883539E-08 -0,08887053 -2,55226E-07

8000 3,883539E-08 -0,08887053 -2,55226E-07

8020 3,883539E-08 -0,08887053 -2,55226E-07

8040 3,883539E-08 -0,08887053 -2,55226E-07

8060 3,883539E-08 -0,08887053 -2,55226E-07

8080 3,883539E-08 -0,08887053 -2,55226E-07

8100 3,883539E-08 -0,08887053 -2,55226E-07

8120 3,883539E-08 -0,08887053 -2,55226E-07

8140 3,883539E-08 -0,08887053 -2,55226E-07

8160 3,883539E-08 -0,08887053 -2,55226E-07

8180 3,883539E-08 -0,08887053 -2,55226E-07

8200 3,883539E-08 -0,08887053 -2,55226E-07

8220 3,883539E-08 -0,08887053 -2,55226E-07

8240 3,883539E-08 -0,08887053 -2,55226E-07

8260 3,883539E-08 -0,08887053 -2,55226E-07

8280 3,883539E-08 -0,08887053 -2,55226E-07

8300 3,883539E-08 -0,08887053 -2,55226E-07

8320 3,883539E-08 -0,08887053 -2,55226E-07

8340 3,883539E-08 -0,08887053 -2,55226E-07

8360 3,883539E-08 -0,08887053 -2,55226E-07

8380 3,883539E-08 -0,08887053 -2,55226E-07

8400 3,883539E-08 -0,08887053 -2,55226E-07

8420 3,883539E-08 -0,08887053 -2,55226E-07

8440 3,883539E-08 -0,08887053 -2,55226E-07

8460 3,883539E-08 -0,08887053 -2,55226E-07

8480 3,883539E-08 -0,08887053 -2,55226E-07

8500 3,883539E-08 -0,08887053 -2,55226E-07

8520 3,883539E-08 -0,08887053 -2,55226E-07

8540 3,883539E-08 -0,08887053 -2,55226E-07

8560 3,883539E-08 -0,08887053 -2,55226E-07

8580 3,883539E-08 -0,08887053 -2,55226E-07

8600 3,883539E-08 -0,08887053 -2,55226E-07

8620 3,883539E-08 -0,08887053 -2,55226E-07

8640 3,883539E-08 -0,08887053 -2,55226E-07

8660 3,883539E-08 -0,08887053 -2,55226E-07

8680 3,883539E-08 -0,08887053 -2,55226E-07

8700 3,883539E-08 -0,08887053 -2,55226E-07

8720 3,883539E-08 -0,08887053 -2,55226E-07

8740 3,883539E-08 -0,08887053 -2,55226E-07

8760 3,883539E-08 -0,08887053 -2,55226E-07

8780 3,883539E-08 -0,08887053 -2,55226E-07

8800 3,883539E-08 -0,08887053 -2,55226E-07

8820 3,883539E-08 -0,08887053 -2,55226E-07

8840 3,883539E-08 -0,08887053 -2,55226E-07

8860 3,883539E-08 -0,08887053 -2,55226E-07

8880 3,883539E-08 -0,08887053 -2,55226E-07

8900 3,883539E-08 -0,08887053 -2,55226E-07

8920 3,883539E-08 -0,08887053 -2,55226E-07

8940 3,883539E-08 -0,08887053 -2,55226E-07

8960 3,883539E-08 -0,08887053 -2,55226E-07

8980 3,883539E-08 -0,08887053 -2,55226E-07

9000 3,883539E-08 -0,08887053 -2,55226E-07

9020 3,883539E-08 -0,08887053 -2,55226E-07

9040 3,883539E-08 -0,08887053 -2,55226E-07

9060 3,883539E-08 -0,08887053 -2,55226E-07

9080 3,883539E-08 -0,08887053 -2,55226E-07

9100 3,883539E-08 -0,08887053 -2,55226E-07

9120 3,883539E-08 -0,08887053 -2,55226E-07

9140 3,883539E-08 -0,08887053 -2,55226E-07

9160 3,883539E-08 -0,08887053 -2,55226E-07

9180 3,883539E-08 -0,08887053 -2,55226E-07

9200 3,883539E-08 -0,08887053 -2,55226E-07

9220 3,883539E-08 -0,08887053 -2,55226E-07

9240 3,883539E-08 -0,08887053 -2,55226E-07

9260 3,883539E-08 -0,08887053 -2,55226E-07

9280 3,883539E-08 -0,08887053 -2,55226E-07

9300 3,883539E-08 -0,08887053 -2,55226E-07

9320 3,883539E-08 -0,08887053 -2,55226E-07

9340 3,883539E-08 -0,08887053 -2,55226E-07

9360 3,883539E-08 -0,08887053 -2,55226E-07

9380 3,883539E-08 -0,08887053 -2,55226E-07

9400 3,883539E-08 -0,08887053 -2,55226E-07

9420 3,883539E-08 -0,08887053 -2,55226E-07

9440 3,883539E-08 -0,08887053 -2,55226E-07

9460 3,883539E-08 -0,08887053 -2,55226E-07

9480 3,883539E-08 -0,08887053 -2,55226E-07

9500 3,883539E-08 -0,08887053 -2,55226E-07

9520 3,883539E-08 -0,08887053 -2,55226E-07

9540 3,883539E-08 -0,08887053 -2,55226E-07

9560 3,883539E-08 -0,08887053 -2,55226E-07

9580 3,883539E-08 -0,08887053 -2,55226E-07

9600 3,883539E-08 -0,08887053 -2,55226E-07

9620 3,883539E-08 -0,08887053 -2,55226E-07

9640 3,883539E-08 -0,08887053 -2,55226E-07

9660 3,883539E-08 -0,08887053 -2,55226E-07

9680 3,883539E-08 -0,08887053 -2,55226E-07

9700 3,883539E-08 -0,08887053 -2,55226E-07

9720 3,883539E-08 -0,08887053 -2,55226E-07

9740 3,883539E-08 -0,08887053 -2,55226E-07

9760 3,883539E-08 -0,08887053 -2,55226E-07

9780 3,883539E-08 -0,08887053 -2,55226E-07

9800 3,883539E-08 -0,08887053 -2,55226E-07

9820 3,883539E-08 -0,08887053 -2,55226E-07

9840 3,883539E-08 -0,08887053 -2,55226E-07

9860 3,883539E-08 -0,08887053 -2,55226E-07

9880 3,883539E-08 -0,08887053 -2,55226E-07

9900 3,883539E-08 -0,08887053 -2,55226E-07

9920 3,883539E-08 -0,08887053 -2,55226E-07

9940 3,883539E-08 -0,08887053 -2,55226E-07

